number,x,y
358,595,617
359,708,466
360,575,591
361,797,656
362,586,473
363,556,575
364,725,784
365,730,812
366,798,593
367,752,748
368,781,443
369,627,874
370,524,639
371,606,582
372,772,488
373,668,480
374,646,482
375,599,757
376,764,638
377,582,915
378,663,874
379,696,848
380,625,481
381,605,478
382,592,475
383,761,444
384,608,454
385,629,446
386,652,444
387,673,448
388,687,454
389,797,435
390,682,475
391,590,680
392,570,626
393,547,669
394,695,819
395,664,847
396,580,894
397,756,772
398,593,465
399,553,528
400,626,897
401,790,647
402,558,747
403,562,754
404,567,765
405,573,779
406,583,800
407,582,742
408,590,740
409,598,737
410,626,718
411,727,652
412,553,504
413,566,457
414,581,460
415,577,738
416,734,712
417,545,456
418,601,821
419,536,515
420,569,568
421,562,836
422,654,774
423,616,637
424,632,801
425,673,631
426,638,661
427,693,672
428,573,865
429,583,583
430,682,792
431,651,821
432,669,743
433,758,680
434,704,743
435,777,699
436,655,696
437,568,545
438,566,617
439,580,625
440,557,601
441,586,435
442,627,421
443,662,418
444,691,421
445,710,432
446,726,475
447,801,541
448,707,510
449,682,518
450,649,517
451,618,511
452,593,503
453,576,495
454,803,543
455,579,632
456,553,551
457,550,618
458,537,630
459,549,622
460,572,640
461,533,632
462,531,637
463,577,475
464,563,482
465,555,487
466,694,460
467,706,452
